,supermercado,categoria,Producto,URL
0,mercadona,aceite-de-girasol-,"Aceite De Girasol Refinado 0,2º Hacendado 1 L.",https://super.facua.org/mercadona/aceite-de-girasol/aceite-de-girasol-refinado-02-hacendado-1-l/
1,mercadona,aceite-de-girasol-,"Aceite De Girasol Refinado 0,2º Hacendado 5 L.",https://super.facua.org/mercadona/aceite-de-girasol/aceite-de-girasol-refinado-02-hacendado-5-l/
2,mercadona,aceite-de-oliva-suave-e-intenso,Aceite De Oliva Intenso Hacendado 3 L.,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-intenso-hacendado-garrafa-3-l/
3,mercadona,aceite-de-oliva-suave-e-intenso,Aceite De Oliva Suave Hacendado 3 L.,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-suave-hacendado-garrafa-3-l/
4,mercadona,aceite-de-oliva-virgen,Aceite De Oliva Virgen Hacendado 1 L.,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-hacendado-botella-1-l/
5,mercadona,aceite-de-oliva-virgen,Aceite De Oliva Virgen Hacendado 3 L.,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-hacendado-garrafa-3-l/
6,mercadona,aceite-de-oliva-virgen-extra,Aceite De Oliva Virgen Extra Hacendado 0.2 L.,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-spray-200-ml/
7,mercadona,aceite-de-oliva-virgen-extra,Aceite De Oliva Virgen Extra Hacendado 1 L.,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-botella-1-l/
8,mercadona,aceite-de-oliva-virgen-extra,Aceite De Oliva Virgen Extra Hacendado 3 L.,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-garrafa-3-l/
9,mercadona,aceite-de-oliva-virgen-extra,Aceite De Oliva Virgen Extra Hacendado Gran Selección 0.75 L.,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-gran-seleccion-botella-750-ml/
10,mercadona,aceite-de-oliva-virgen-extra,Aceite De Oliva Virgen Extra Picual Casa Juncal 0.5 L.,https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-picual-casa-juncal-botella-500-ml/
11,mercadona,leche-enriquecida,Leche Desnatada Calcio Hacendado 6 L.,https://super.facua.org/mercadona/leche/leche-desnatada-calcio-hacendado-6-l/
12,mercadona,leche-enriquecida,Leche Entera Calcio Hacendado 1 L.,https://super.facua.org/mercadona/leche/leche-entera-calcio-hacendado-1-l/
13,mercadona,leche-enriquecida,Leche Entera Calcio Hacendado 6 L.,https://super.facua.org/mercadona/leche/leche-entera-calcio-hacendado-6-l/
