,supermercado,categoria,precio_promedio,productos_comparados
0,carrefour,aceite de girasol,8.18,15
1,dia,aceite de girasol,5.10,7
2,alcampo,aceite de girasol,4.13,17
3,mercadona,aceite de girasol,4.12,2
4,hipercor,aceite de girasol,3.61,11
5,eroski,aceite de girasol,3.52,12
6,hipercor,aceite de oliva suave e intenso,22.39,27
7,carrefour,aceite de oliva suave e intenso,21.39,13
8,mercadona,aceite de oliva suave e intenso,21.30,2
9,alcampo,aceite de oliva suave e intenso,20.05,35
10,eroski,aceite de oliva suave e intenso,17.71,7
11,dia,aceite de oliva suave e intenso,16.45,13
12,hipercor,aceite de oliva virgen,28.89,14
13,alcampo,aceite de oliva virgen,26.72,15
14,carrefour,aceite de oliva virgen,26.64,8
15,mercadona,aceite de oliva virgen,16.02,2
16,eroski,aceite de oliva virgen,14.59,15
17,dia,aceite de oliva virgen,14.40,4
18,alcampo,aceite de oliva virgen extra,24.94,87
19,hipercor,aceite de oliva virgen extra,19.25,207
20,carrefour,aceite de oliva virgen extra,16.36,73
21,eroski,aceite de oliva virgen extra,13.01,64
22,dia,aceite de oliva virgen extra,10.87,18
23,mercadona,aceite de oliva virgen extra,10.84,5
24,alcampo,leche enriquecida,4.46,20
25,dia,leche enriquecida,4.39,15
26,mercadona,leche enriquecida,4.03,5
27,hipercor,leche enriquecida,2.01,36
28,eroski,leche enriquecida,1.42,13
29,carrefour,leche enriquecida,1.34,12
30,alcampo,"leche entera, semi o desnatada",4.06,126
31,dia,"leche entera, semi o desnatada",3.79,49
32,mercadona,"leche entera, semi o desnatada",3.36,15
33,carrefour,"leche entera, semi o desnatada",1.84,111
34,hipercor,"leche entera, semi o desnatada",1.56,164
35,eroski,"leche entera, semi o desnatada",1.55,99
36,dia,leche sin lactosa,4.33,21
37,alcampo,leche sin lactosa,4.06,58
38,mercadona,leche sin lactosa,4.05,7
39,hipercor,leche sin lactosa,1.46,46
40,carrefour,leche sin lactosa,1.42,26
41,eroski,leche sin lactosa,1.38,29
