,producto,supermercado,precio_minimo,precio_maximo
0,Abril Aceite De Oliva Intenso 1º Botella 1 L,hipercor,6.95,9.4
1,Abril Aceite De Oliva Intenso 1º Garrafa 5 L,hipercor,34.7,46.95
2,"Abril Aceite De Oliva Suave 0,4º Botella 1 L",hipercor,6.95,9.4
3,"Abril Aceite De Oliva Suave 0,4º Garrafa 5 L",hipercor,34.7,46.95
4,Abril Aceite De Oliva Virgen Extra Arbequina Botella 1 L,hipercor,8.55,10.3
5,Abril Aceite De Oliva Virgen Extra Botella 1 L,hipercor,7.95,9.9
6,Abril Aceite De Oliva Virgen Extra Ecológico Botella 500 Ml,hipercor,6.4,7.45
7,Abril Aceite De Oliva Virgen Extra Garrafa 5 L,hipercor,39.7,49.45
8,Abril Aceite De Oliva Virgen Extra Hojiblanca Botella 1 L,hipercor,8.55,10.3
9,Abril Aceite De Oliva Virgen Extra Picual Botella 1 L,hipercor,8.55,10.3
10,Abril Gran Selección Aceite De Oliva Virgen Extra Botella 1 L,hipercor,8.55,10.3
11,Abrilsol Aceite Refinado De Girasol Botella 1 L,hipercor,1.4,1.43
12,"Aceite Aguacate Virgen Extra La Española Soy Plus, Botella 25 Cl",eroski,4.99,5.65
13,"Aceite Alto Oleico Eroski, Botella 1 Litro",eroski,1.89,1.94
14,Aceite De Girasol Alto Oleico Especial Freidora De Aire Diasol Spray 200 Ml,dia,1.99,2.04
15,"Aceite De Girasol Borgesol, Botella 1 Litro",eroski,2.45,2.51
16,Aceite De Girasol Capicua Garrafa 5 L.,carrefour,21.4,21.9
17,Aceite De Girasol Carrefour Classic' 1 L.,carrefour,1.45,1.48
18,Aceite De Girasol Carrefour Garrafa 5 L.,carrefour,10.05,10.79
19,Aceite De Girasol Coosol 1 L.,carrefour,1.77,2.35
20,Aceite De Girasol Coosol Garrafa 5 L,dia,9.75,10.99
21,"Aceite De Girasol Eroski, Botella 1 Litro",eroski,1.54,1.63
22,"Aceite De Girasol Eroski, Garrafa 5 Litros",eroski,6.75,7.01
23,Aceite De Girasol Especial Para Freir Capicua 3 L.,carrefour,12.35,12.65
24,"Aceite De Girasol Especial Para Freir Coosol, Botella 1 Litro",eroski,1.79,3.12
25,Aceite De Girasol Especial Para Freír Koipe Botella 1 L,dia,1.8,2.75
26,Aceite De Girasol Fontasol 1 L.,carrefour,2.69,2.75
27,Aceite De Girasol Fontasol 5 L.,carrefour,6.75,6.89
28,Aceite De Girasol Koipe Botella 1 L,dia,1.71,2.65
29,Aceite De Girasol Koipe Fritos 1 L.,carrefour,2.49,2.65
30,Aceite De Girasol Koipe Sol 1 L.,carrefour,1.71,2.59
31,Aceite De Girasol Koipe Sol 5 L.,carrefour,7.95,10.89
32,Aceite De Girasol Koipe Sol Spray 150 Ml.,carrefour,2.29,2.55
33,"Aceite De Girasol Koipesol, Botella 1 Litro",eroski,2.33,2.55
34,"Aceite De Girasol Koipesol, Garrafa 3 Litros",eroski,4.49,7.28
35,"Aceite De Girasol Koipesol, Garrafa 5 Litros",eroski,7.45,11.99
36,Aceite De Girasol La Masía Garrafa 5 L,dia,8.75,9.39
37,"Aceite De Girasol Lanisol, Botella 1 Litro",eroski,1.45,1.48
38,Aceite De Girasol Para Freír Carrefour Garrafa 5 L.,carrefour,6.75,6.89
39,"Aceite De Girasol Refinado 0,2º Hacendado 1 L.",mercadona,1.45,1.48
40,"Aceite De Girasol Refinado 0,2º Hacendado 5 L.",mercadona,6.75,6.91
41,"Aceite De Girasol Urzante, Botella 1 Litro",eroski,1.69,1.99
42,Aceite De Oliva Extra Suave Carbonell 1 L.,carrefour,10.69,13.23
43,Aceite De Oliva Intenso 1º Abaco 1 L.,carrefour,6.62,6.95
44,Aceite De Oliva Intenso 1º Carrefour 1 L.,carrefour,6.95,7.98
45,Aceite De Oliva Intenso 1º Carrefour Garrafa 5 L.,carrefour,32.45,39.75
46,Aceite De Oliva Intenso 1º La Española 1 L.,carrefour,10.29,13.45
47,Aceite De Oliva Intenso 1º La Masía 1 L.,carrefour,6.99,10.49
48,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,carrefour,32.45,49.6
49,Aceite De Oliva Intenso Carbonell Botella 1 L,dia,7.37,12.95
50,"Aceite De Oliva Intenso Coosur, Botella 1 Litro",eroski,7.59,12.99
51,Aceite De Oliva Intenso Hacendado 3 L.,mercadona,19.35,23.9
52,Aceite De Oliva Intenso La Almazara Del Olivar De Dia Botella 1 L,dia,6.75,8.0
53,Aceite De Oliva Intenso La Almazara Del Olivar De Dia Botella 3 L,dia,19.95,22.76
54,Aceite De Oliva Intenso La Almazara Del Olivar De Dia Garrafa 5 L,dia,34.45,39.65
55,Aceite De Oliva Intenso La Almazara Del Olivar Dia De Dia Botella 3 L,dia,22.76,23.9
56,"Aceite De Oliva Intenso La Española, Botella 1 Litro",eroski,6.86,12.62
57,Aceite De Oliva Intenso La Masía Botella 1 L,dia,8.69,9.39
58,"Aceite De Oliva Suave 0,4º Abaco 1 L.",carrefour,6.62,6.95
59,"Aceite De Oliva Suave 0,4º Carrefour 1 L.",carrefour,6.95,7.98
60,"Aceite De Oliva Suave 0,4º Carrefour Garrafón 5 L.",carrefour,32.45,39.75
61,"Aceite De Oliva Suave 0,4º Carrefour Lata 5 L.",carrefour,37.9,44.7
62,"Aceite De Oliva Suave 0,4º Koipe, Botella 1 Litro",eroski,7.85,13.32
63,"Aceite De Oliva Suave 0,4º La Española 1 L.",carrefour,10.29,13.45
64,"Aceite De Oliva Suave 0,4º La Masía Garrafa 5 L.",carrefour,32.45,48.2
65,Aceite De Oliva Suave Carbonell Botella 1 L,dia,7.37,12.33
66,"Aceite De Oliva Suave Coosur, Botella 1 Litro",eroski,7.59,12.99
67,"Aceite De Oliva Suave Eroski, Garrafa 5 Litros",eroski,32.25,39.85
68,Aceite De Oliva Suave Hacendado 3 L.,mercadona,19.35,23.9
69,Aceite De Oliva Suave La Almazara Del Olivar De Dia Botella 1 L,dia,6.75,8.0
70,Aceite De Oliva Suave La Almazara Del Olivar De Dia Botella 3 L,dia,19.95,22.76
71,Aceite De Oliva Suave La Almazara Del Olivar De Dia Garrafa 5 L,dia,34.45,39.65
72,Aceite De Oliva Suave La Española Botella 1 L,dia,7.69,12.45
73,Aceite De Oliva Suave La Masía Botella 1 L,dia,8.69,9.39
74,"Aceite De Oliva Suave La Masia, Garrafa 3 Litros",eroski,21.84,31.35
75,Aceite De Oliva Virgen Aromas Del Sur 5 L.,carrefour,37.95,39.95
76,Aceite De Oliva Virgen Carbonell 1 L.,carrefour,11.95,14.24
77,Aceite De Oliva Virgen Carbonell 5 L.,carrefour,39.95,54.37
78,"Aceite De Oliva Virgen Carbonell, Botella 1 Litro",eroski,8.55,13.95
79,"Aceite De Oliva Virgen Carbonell, Garrafa 3 Litros",eroski,24.49,37.99
80,Aceite De Oliva Virgen Carrefour 1 L.,carrefour,7.75,8.94
81,Aceite De Oliva Virgen Carrefour Garrafa 5 L.,carrefour,37.13,43.75
82,Aceite De Oliva Virgen Coosur Botella 1 L,dia,10.15,14.5
83,"Aceite De Oliva Virgen Coosur Serie Oro, Botella 1 Litro",eroski,8.48,14.49
84,"Aceite De Oliva Virgen Coosur Serie Oro, Garrafa 3 Litros",eroski,22.45,28.56
85,Aceite De Oliva Virgen Extra A La Guindilla La Española Botella 250 Ml,dia,2.85,2.99
86,Aceite De Oliva Virgen Extra A La Trufa Blanca La Española Botella 250 Ml,dia,3.79,3.99
