,producto,supermercado,precio_minimo,precio_maximo
0,1921 Aceite De Oliva Virgen Extra Arbequina Primer Día De Cosecha Botella 500 Ml,hipercor,14.94,14.94
1,1921 Aceite De Oliva Virgen Extra Picual Primer Día De Cosecha Botella 500 Ml,hipercor,14.94,14.94
2,"Aceite De Oliva 0,4º Ybarra, Lata 5 Litros",eroski,45.39,45.39
3,Aceite De Oliva Suave La Almazara Del Olivar Dia De Dia Botella 3 L,dia,22.76,22.76
4,"Aceite De Oliva Virgen Ecológico Borges, Botella 50 Cl",eroski,8.56,8.56
5,"Aceite De Oliva Virgen Extra Bio Carapelli, Botella 1 Litro",eroski,15.19,15.19
6,"Aceite De Oliva Virgen Extra Borges, Botella 1 Litro",eroski,14.24,14.24
7,"Aceite De Oliva Virgen Extra Cazorliva, Botella 50 Cl",eroski,7.51,7.51
8,"Aceite De Oliva Virgen Extra Coosur, Botella 50 Cl",eroski,8.1,8.1
9,"Aceite De Oliva Virgen Extra Eco Hojiblanca, Botella 50 Cl",eroski,7.86,7.86
10,"Aceite De Oliva Virgen Extra Eco Hojiblanca, Botella 750 Ml",eroski,11.32,11.32
11,"Aceite De Oliva Virgen Extra Eco Natura Borges, Botella 1 Litro",eroski,15.19,15.19
12,"Aceite De Oliva Virgen Extra Ecológico Carbonel, Botella 75 Cl",eroski,11.32,11.32
13,"Aceite De Oliva Virgen Extra Eusko Label Arrolan, Botella 50 Cl",eroski,8.52,8.52
14,"Aceite De Oliva Virgen Extra La Española, Lata 1 Litro",eroski,13.49,13.49
15,"Aceite De Oliva Virgen Extra Monodosis La Española, Pack 5X20 Ml",eroski,3.0,3.0
16,"Aceite De Oliva Virgen Extra Olivar De Segura, Botella 1 Litro",eroski,12.37,12.37
17,Aceite De Oliva Virgen Extra Variedad Picual Ecológico Cosecha Temprana Botella 500 Ml,hipercor,18.46,18.46
18,"Aceite De Oliva Virgen La Española, Spray 200 Ml",eroski,4.28,4.28
19,"Aceite De Oliva Virgen Picual Borges, Botella 75 Cl",eroski,12.37,12.37
20,"Aceite Oliva Virgen Extra H. Guzman R. Familia, Botella 50 Cl",eroski,19.0,19.0
21,"Aceite Oliva Virgen Extra Hojiblanca Carbonell, Botella 1 Litro",eroski,9.48,9.48
22,"Aceite Oliva Virgen Extra Nº 3 Elizondo, Botella 50 Cl",eroski,14.75,14.75
23,"Aceite Oliva Virgen Extra Oleoestepa, Botella 75 Cl",eroski,12.37,12.37
24,Anchoa Con Aceite De Oliva Virgen Extra Lorea Gourmet 125 G.,carrefour,11.15,11.15
25,Anchoas En Aceite De Oliva Virgen Extra Ecológico Consorcio 38 G.,carrefour,5.99,5.99
26,Asturiana Leche Desnatada Y Avena Sin Lactosa Y Sin Gluten Brik 1 L,hipercor,1.99,1.99
27,Boquerones En Vinagre Con Aceite De Oliva Virgen Extra Lorea 55 G.,carrefour,3.65,3.65
28,Borges Aceite De Oliva A La Albahaca Fresca Botella De Cristal De 200 Ml.,alcampo,4.29,4.29
29,Borges Aceite De Oliva Virgen Extra Hojiblanca Botella De Cristal De 750 Ml.,alcampo,9.51,9.51
30,Campo Rico Pisto Tradicional Con Aceite De Oliva Virgen Extra Bandeja 380 G,hipercor,3.29,3.29
31,Campomar Nature Aceite De Girasol Ecológico Capomar 1 L.,alcampo,5.88,5.88
32,"Carbonel Aceite De Oliva Virgen, Variedad Hojiblanca Botella 1 L.",alcampo,11.75,11.75
33,"Carbonel Aceite De Oliva Virgen, Variedad Picual Botella 1 L.",alcampo,11.75,11.75
34,Carbonell Aceite De Oliva Virgen Extra 100% Picual Botella De 1 L.,alcampo,14.18,14.18
35,Carbonell Aceite De Oliva Virgen Extra Garrafa 3 L.,alcampo,36.73,36.73
36,Carbonell Gran Seleccion  Aceite De Oliva Virgen Extra Lata De 5 L.,alcampo,60.94,60.94
37,Celta Leche De Vaca Semidesnatada Con Bienestar Animal Garantizado 1.5 L.,alcampo,1.43,1.43
38,Celta Leche Desnatada De Vaca Con Bienestar Animal Garantizado 1.5 L.,alcampo,1.39,1.39
39,Celta Leche Entera De Vaca Con Bienestar Animal Garantizado 4 X 1.5 L.,alcampo,5.96,5.96
40,"Central Lechera Asturiana Leche De Vaca Desnatada, De Origen Español 6 X 2.2 L.",alcampo,14.1,14.1
41,"Central Lechera Asturiana Leche De Vaca Desnatada, Enriquecida Con Calcio  6 X 1L.",alcampo,9.0,9.0
