,index,producto
0,1,"Aceite De Girasol Refinado 0,2º Hacendado 1 L."
1,2,"Aceite De Girasol Refinado 0,2º Hacendado 5 L."
2,3,Aceite De Oliva Intenso Hacendado 3 L.
3,4,Aceite De Oliva Suave Hacendado 3 L.
4,5,Aceite De Oliva Virgen Hacendado 1 L.
5,6,Aceite De Oliva Virgen Hacendado 3 L.
6,7,Aceite De Oliva Virgen Extra Hacendado 0.2 L.
7,8,Aceite De Oliva Virgen Extra Hacendado 1 L.
8,9,Aceite De Oliva Virgen Extra Hacendado 3 L.
9,10,Aceite De Oliva Virgen Extra Hacendado Gran Selección 0.75 L.
10,11,Aceite De Oliva Virgen Extra Picual Casa Juncal 0.5 L.
11,12,Leche Desnatada Calcio Hacendado 6 L.
12,13,Leche Entera Calcio Hacendado 1 L.
13,14,Leche Entera Calcio Hacendado 6 L.
14,15,Leche Semidesnatada Calcio Hacendado 1 L.
15,16,Leche Semidesnatada Calcio Hacendado 6 L.
16,17,Leche +Proteínas Desnatada Hacendado 6 L.
17,18,Leche Desnatada Hacendado 1 L.
18,19,Leche Desnatada Hacendado 1.5 L.
19,20,Leche Desnatada Hacendado 6 L.
20,21,Leche Desnatada Hacendado 9 L.
21,22,Leche Entera Fresca Hacendado 1 L.
22,23,Leche Entera Hacendado 1 L.
23,24,Leche Entera Hacendado 1.2 L.
24,25,Leche Entera Hacendado 6 L.
25,26,Leche Semidesnatada Fresca Hacendado 1 L.
26,27,Leche Semidesnatada Hacendado 1 L.
27,28,Leche Semidesnatada Hacendado 1.2 L.
28,29,Leche Semidesnatada Hacendado 1.5 L.
29,30,Leche Semidesnatada Hacendado 6 L.
30,31,Leche Semidesnatada Hacendado 9 L.
31,32,Leche Desnatada Sin Lactosa Hacendado 1 L.
32,33,Leche Desnatada Sin Lactosa Hacendado 6 L.
33,34,Leche Entera Sin Lactosa Hacendado 1 L.
34,35,Leche Entera Sin Lactosa Hacendado 6 L.
35,36,Leche Semidesnatada Sin Lactosa Hacendado 1 L.
36,37,Leche Semidesnatada Sin Lactosa Hacendado 6 L.
37,38,Leche Semidesnatada Sin Lactosa Hacendado 9 L.
38,39,Aceite De Girasol Capicua Garrafa 5 L.
39,40,Aceite De Girasol Carrefour Classic' 1 L.
40,41,Aceite De Girasol Carrefour Garrafa 5 L.
